name,node_id,zone_id,node_type,ctrl_type,x_coord,y_coord,geometry
,100597,0,,,1527250.887000,993468.813000,"POINT (1527250.887000 993468.813000)"
,100598,0,,,1527673.268000,993472.250000,"POINT (1527673.268000 993472.250000)"
,100599,0,,,1530118.445000,993463.187000,"POINT (1530118.445000 993463.187000)"
,100600,0,,,1530643.594000,993458.750000,"POINT (1530643.594000 993458.750000)"
,100601,0,,,1531248.877000,993501.375000,"POINT (1531248.877000 993501.375000)"
,100602,0,,,1532300.567000,993492.875000,"POINT (1532300.567000 993492.875000)"
,100603,0,,,1527489.400000,990826.938000,"POINT (1527489.400000 990826.938000)"
,100604,0,,,1523380.122000,992111.875000,"POINT (1523380.122000 992111.875000)"
,100605,0,,,1522558.585000,992667.375000,"POINT (1522558.585000 992667.375000)"
,100606,0,,,1519710.840000,990614.938000,"POINT (1519710.840000 990614.938000)"
,100607,0,,,1521700.592000,993211.250000,"POINT (1521700.592000 993211.250000)"
,100608,0,,,1522541.440000,990568.375000,"POINT (1522541.440000 990568.375000)"
,100609,0,,,1523361.000000,990511.000000,"POINT (1523361.000000 990511.000000)"
,100610,0,,,1523362.000000,989600.000000,"POINT (1523362.000000 989600.000000)"
,100611,0,,,1522502.672000,988251.813000,"POINT (1522502.672000 988251.813000)"
,100612,0,,,1523354.760000,988236.250000,"POINT (1523354.760000 988236.250000)"
,100613,0,,,1524229.031000,988220.375000,"POINT (1524229.031000 988220.375000)"
,100614,0,,,1527609.886000,988171.938000,"POINT (1527609.886000 988171.938000)"
,100615,0,,,1530273.441000,988137.188000,"POINT (1530273.441000 988137.188000)"
,100616,0,,,1527594.633000,987195.438000,"POINT (1527594.633000 987195.438000)"
,100617,0,,,1527584.660000,986802.375000,"POINT (1527584.660000 986802.375000)"
,100618,0,,,1527820.505000,986840.875000,"POINT (1527820.505000 986840.875000)"
,100619,0,,,1527513.232000,982840.500000,"POINT (1527513.232000 982840.500000)"
,100620,0,,,1527469.000000,980041.000000,"POINT (1527469.000000 980041.000000)"
,100621,0,,,1522442.055000,982901.875000,"POINT (1522442.055000 982901.875000)"
,100622,0,,,1522440.014000,982584.812000,"POINT (1522440.014000 982584.812000)"
,100623,0,,,1522358.564000,974973.500000,"POINT (1522358.564000 974973.500000)"
,100624,0,,,1522331.000000,974656.000000,"POINT (1522331.000000 974656.000000)"
,100625,0,,,1527408.040000,974880.812000,"POINT (1527408.040000 974880.812000)"
,100626,0,,,1527348.016000,971140.812000,"POINT (1527348.016000 971140.812000)"
,100627,0,,,1525214.000000,971057.000000,"POINT (1525214.000000 971057.000000)"
,100628,0,,,1522303.440000,971036.563000,"POINT (1522303.440000 971036.563000)"
,100629,0,,,1521753.000000,971005.000000,"POINT (1521753.000000 971005.000000)"
,100630,0,,,1527286.000000,968968.000000,"POINT (1527286.000000 968968.000000)"
,100631,0,,,1527217.000000,966688.000000,"POINT (1527217.000000 966688.000000)"
,100632,0,,,1532726.690000,971149.063000,"POINT (1532726.690000 971149.063000)"
,100633,0,,,1539359.040000,971173.813000,"POINT (1539359.040000 971173.813000)"
,100634,0,,,1532759.500000,974838.563000,"POINT (1532759.500000 974838.563000)"
,100635,0,,,1538067.059000,974762.125000,"POINT (1538067.059000 974762.125000)"
,100636,0,,,1538081.725000,975874.188000,"POINT (1538081.725000 975874.188000)"
,100637,0,,,1538101.865000,977401.563000,"POINT (1538101.865000 977401.563000)"
,100638,0,,,1538131.000000,979607.000000,"POINT (1538131.000000 979607.000000)"
,100639,0,,,1538172.162000,982719.938000,"POINT (1538172.162000 982719.938000)"
,100640,0,,,1532861.967000,982420.313000,"POINT (1532861.967000 982420.313000)"
,100641,0,,,1532866.471000,982790.875000,"POINT (1532866.471000 982790.875000)"
,100642,0,,,1532927.757000,988100.000000,"POINT (1532927.757000 988100.000000)"
,100643,0,,,1538241.265000,988032.875000,"POINT (1538241.265000 988032.875000)"
,100644,0,,,1532722.920000,973002.313000,"POINT (1532722.920000 973002.313000)"
,100645,0,,,1533057.350000,997143.313000,"POINT (1533057.350000 997143.313000)"
,100646,0,,,1532974.000000,990717.000000,"POINT (1532974.000000 990717.000000)"
,100647,0,,,1532987.325000,993421.125000,"POINT (1532987.325000 993421.125000)"
,100648,0,,,1533899.849000,993406.875000,"POINT (1533899.849000 993406.875000)"
,100649,0,,,1538305.418000,993363.813000,"POINT (1538305.418000 993363.813000)"
,100650,0,,,1533627.976000,997303.188000,"POINT (1533627.976000 997303.188000)"
,100651,0,,,1535323.821000,996602.813000,"POINT (1535323.821000 996602.813000)"
,100652,0,,,1537033.299000,995883.750000,"POINT (1537033.299000 995883.750000)"
,100653,0,,,1538293.533000,995415.188000,"POINT (1538293.533000 995415.188000)"
,100654,0,,,1538346.989000,997638.250000,"POINT (1538346.989000 997638.250000)"
,100655,0,,,1544842.607000,992605.813000,"POINT (1544842.607000 992605.813000)"
,100656,0,,,1548933.889000,990838.875000,"POINT (1548933.889000 990838.875000)"
,100657,0,,,1548962.984000,993154.125000,"POINT (1548962.984000 993154.125000)"
,100658,0,,,1554248.367000,992964.813000,"POINT (1554248.367000 992964.813000)"
,100659,0,,,1552833.381000,988378.250000,"POINT (1552833.381000 988378.250000)"
,100660,0,,,1554109.033000,987478.063000,"POINT (1554109.033000 987478.063000)"
,100661,0,,,1555596.226000,986482.250000,"POINT (1555596.226000 986482.250000)"
,100662,0,,,1548888.000000,987816.000000,"POINT (1548888.000000 987816.000000)"
,100663,0,,,1544854.649000,987925.250000,"POINT (1544854.649000 987925.250000)"
,100664,0,,,1543544.509000,987950.000000,"POINT (1543544.509000 987950.000000)"
,100665,0,,,1543461.000000,981291.000000,"POINT (1543461.000000 981291.000000)"
,100666,0,,,1543432.000000,979510.000000,"POINT (1543432.000000 979510.000000)"
,100667,0,,,1543372.343000,974682.813000,"POINT (1543372.343000 974682.813000)"
,100668,0,,,1543332.963000,971152.000000,"POINT (1543332.963000 971152.000000)"
,100669,0,,,1546045.283000,974645.625000,"POINT (1546045.283000 974645.625000)"
,100670,0,,,1549253.000000,974597.000000,"POINT (1549253.000000 974597.000000)"
,100671,0,,,1507198.890000,989537.562000,"POINT (1507198.890000 989537.562000)"
,100672,0,,,1533667.000000,982717.000000,"POINT (1533667.000000 982717.000000)"
,100673,0,,,1532828.000000,979930.000000,"POINT (1532828.000000 979930.000000)"
,100674,0,,,1522283.000000,970847.000000,"POINT (1522283.000000 970847.000000)"
,100675,0,,,1523686.000000,990507.000000,"POINT (1523686.000000 990507.000000)"
,100676,0,,,1523064.000000,996900.000000,"POINT (1523064.000000 996900.000000)"
,100677,0,,,1458677.000000,1041546.000000,"POINT (1458677.000000 1041546.000000)"
,100678,0,,,1458658.000000,1040691.000000,"POINT (1458658.000000 1040691.000000)"
,100679,0,,,1459032.000000,1042325.000000,"POINT (1459032.000000 1042325.000000)"
