node_id,x_coord,y_coord
369,1522161.5971318264,1003476.9232005326
370,1522156.822422891,1003300.2419013397
371,1522155.4906504275,1003492.3058731806
372,1521354.5342538452,1003510.9162936136
373,1522168.866,1003496.825
374,1522168.866,1003620.344
375,1522645.2905902837,1002999.172187246
376,1522675.3313212458,1003259.6648685905
377,1522636.653999853,1002979.83401133
378,1522626.0234236615,1002775.1680870032
379,1522650.4491198414,1002983.9916825262
380,1522661.4679228442,1002983.5488633184
381,1522851.578250734,1002975.9087861922
382,1522630.6250214067,1002994.8063088711
383,1522446.9043405654,1002993.2903336872
384,1522856.4844289902,1003251.6587453632
385,1522683.3439067395,1003272.292071849
386,1522860.5922170298,1003237.0844373157
387,1522856.6901010058,1002990.8349267718
388,1518978.2204055174,1003541.748527487
389,1518977.1766065923,1002980.5834928891
390,1518985.0664563004,1003561.8007292721
391,1518982.7595078724,1003695.8856887782
392,1520494.8264514909,1003042.9062157621
393,1521132.6839591712,1003011.8047580416
394,1521322.6481838326,1003002.5422437174
395,1520475.2363766942,1003052.5199451144
396,1519746.0027006874,1003038.8443726067
397,1520488.693809017,1003058.60150576
398,1520493.2048410864,1003509.7545054643
399,1520481.7459645376,1003038.5851017444
400,1520482.6128395007,1002981.3958044928
401,1520613.1654132272,1002564.9409266684
402,1519328.1116557338,1002622.1031582089
403,1520633.4658875258,1002562.647785877
404,1520831.8459989398,1002669.1852531178
405,1522854.9689088282,1002774.4812293253
406,1522638.903909159,1002768.7633207904
407,1522859.6383217191,1002761.3379340837
408,1522855.5362035218,1002520.6960288626
409,1522440.630631066,1002776.7089866259
410,1522618.7506007822,1002762.3167527748
411,1522427.3778423585,1002771.0267589063
412,1522425.7753158705,1002532.6913068229
413,1522434.7334696478,1002790.8973164356
414,1522440.1565874289,1002977.8607247878
415,1522132.2901322783,1002283.4888610537
416,1521750.21686117,1002309.8045940585
417,1522138.55762298,1002269.298988021
418,1522139.3414119817,1002021.3088881299
419,1522145.5849030064,1002289.2891888143
420,1522146.931975307,1002517.7425364909
421,1521321.8891309341,1002316.1980150759
422,1521729.898350252,1002303.8052116854
423,1521306.8046853768,1002309.9714803703
424,1521307.21563968,1002234.7160330268
425,1521308.2564711762,1002044.1151821745
426,1521317.670337732,1002329.7677924837
427,1521318.3105879272,1002344.8159424636
428,1521326.4081714558,1002535.1378702212
429,1522130.700549635,1002785.0013798767
430,1521707.9462927475,1002778.6498302127
431,1522137.3600791693,1002771.6148254435
432,1522139.8833281419,1002537.724661697
433,1522145.1245566173,1002791.3024273807
434,1522162.1498937504,1002982.634140616
435,1521339.1214489776,1002794.4254185216
436,1521687.7971572273,1002772.1448293657
437,1521322.0613005944,1002788.7756127382
438,1521320.7391255554,1002745.7281640341
439,1521314.8982983425,1002555.5621856856
440,1521334.7831903922,1002808.465879559
441,1521337.9723111195,1002997.2117338228
442,1521716.105546425,1002523.0505133284
443,1521735.5763873872,1002316.6271310083
444,1521721.2868636511,1002543.5966871327
445,1521702.3387177186,1002765.3343117906
446,1521728.5812894367,1002527.954307507
447,1522133.423009385,1002522.644595466
448,1521719.2067663516,1002997.485829078
449,1521695.6260738363,1002785.3254285417
450,1521733.614560935,1003001.4665995983
451,1521959.0303909963,1002994.1556900925
452,1522149.3850716322,1002987.9819185177
453,1521713.7935076186,1003012.2946757618
454,1521533.35601821,1003012.4151526759
455,1521342.8955031605,1003012.5423218977
456,1518984.1765944827,1002980.570472513
457,1518985.2203934079,1003541.735507111
458,1518975.5318490495,1002960.5129512904
459,1518977.6689039727,1002787.4137610802
460,1518980.0159510628,1002597.305427267
461,1518991.0644629693,1002966.1874637522
462,1519537.4193343574,1003012.3449893389
463,1519726.852456405,1003028.3488078015
464,1518732.1981766582,1002093.0640230898
465,1519004.0598228467,1001868.666453076
466,1518736.7661247302,1002096.9795060047
467,1518984.904129606,1002099.467021555
468,1519692.661585758,999691.3705469839
469,1520421.4395647093,999709.194545649
470,1519686.2218588244,999704.5738481537
471,1519697.3564232418,1000481.9508993925
472,1521282.3076520253,999788.307562803
473,1521283.2983423695,1000571.1625788175
474,1521268.5554235743,999781.0324916145
475,1520441.0521781235,999717.1967724777
476,1521289.0730973314,999775.7408688791
477,1522105.0448951635,1000126.7532086083
478,1521289.7410433362,1000640.8831890491
479,1521864.933825663,1000629.6951347655
480,1521276.311,1000634.577
481,1521276.311,1000591.167
482,1521285.429169384,1000654.3748912412
483,1521293.1723940072,1000862.4944560851
484,1521300.2455707833,1001052.6047194937
485,1519703.9524487106,1000488.3669895866
486,1520433.9542262512,1000478.6336325527
487,1519688.6073206589,1000482.0762149598
488,1519680.1955359408,999894.7942922263
489,1519677.4727562414,999704.6991637211
490,1519699.4492373152,1000501.8928414867
491,1519706.8324900947,1000870.4461519999
492,1519710.6446563692,1001060.7398535165
493,1522130.7186148,1001000.4145535679
494,1522393.1609095742,1000997.4281261887
495,1522114.1013560602,1000997.5524865565
496,1522100.0906665004,1000958.5944220979
497,1522117.242079409,1001015.7650011881
498,1521716.8713329313,1001060.9956276275
499,1522124.04895846,1001015.8555677457
